Lnum	basehw	suffix	resolution	in_sanhw1
6135.066	asihatya	tyam	asihatyam	True
6139.038	asitagrIva	vaH	asitagrIvaH	True
6145	asuH	su	asu	True
6145.030	asunItaH	tam	asunItam	True
6145.038	asusama	maH	asusamaH	True
6157.046	asurarakzasa	sam	asurarakzasam	True
6225.074	asTivigraha	haH	asTivigrahaH	True
6265.020	asrArjaka	kaH	asrArjakaH	True
6298.034	ahardiva	vam	ahardivam	True
6298.042	aharniSam	Sam	aharniSam	True
6298.058	ahArAtraH	tram	ahArAtram	False
6300.024	ahaNkartavya	vyam	ahaNkartavyam	True
6310.038	ahicCatraH	traH	ahicCatraH	True
6310.108	ahimanyu	nyuH	ahimanyuH	True
6310.124	ahisakTa	kTaH	ahisakTaH	True
6319.002	ahInaH	nam	ahInam	True
6382.030	AkASagaH	gaH	AkASagaH	True
6382.030	AkASagaH	gA	AkASagA	True
6487.022	AKUtTa	tTaH	AKUtTaH	True
6561.004	AgrahAyaRakaH	RikaH	None	False
6682.034	AjYAkara	raH	AjYAkaraH	True
6688.028	Ajyapa	pAH	AjyapAH	True
6722.022	ARqaja	jaH	ARqajaH	True
6722.022	ARqaja	jam	ARqajam	True
6780.020	AtmADIna	naH	AtmADInaH	True
6780.030	AtmAdizwa	zwaH	AtmAdizwaH	True
6780.038	AtmASraya	yaH	AtmASrayaH	True
6780.044	AtmodBava	vaH	AtmodBavaH	True
6780.044	AtmodBava	vA	AtmodBavA	True
6780.050	Atmopama	maH	AtmopamaH	True
6780.062	Atmagata	tam	Atmagatam	True
6780.100	Atmatuzwi	zwiH	AtmatuzwiH	True
6780.152	AtmaBU	BUH	AtmaBUH	True
6780.154	AtmayoniH	BUH	None	False
6780.156	AtmaBUta	taH	AtmaBUtaH	True
6780.156	AtmaBUta	tA	AtmaBUtA	False
6780.194	AtmavaSa	SaH	AtmavaSaH	True
6780.208	AtmavIra	raH	AtmavIraH	True
6780.214	Atmavftti	ttiH	AtmavfttiH	True
6780.242	AtmasaMBavaH	vA	AtmasaMBavA	True
6780.252	AtmasuKa	Kam	AtmasuKam	True
6780.262	Atmahita	tam	Atmahitam	True
6821.020	Adyanta	tam	Adyantam	True
6821.066	AdibudDa	dDaH	AdibudDaH	True
6821.068	AdiBava	vaH	AdiBavaH	True
6821.068	AdiBava	taH	None	False
6821.068	AdiBava	tam	None	False
6829.026	AdityapatraH	tram	Adityapatram	True
6934.020	AnakadunduBiH	BiH	AnakadunduBiH	True
6934.020	AnakadunduBiH	BI	AnakadunduBI	True
6940.046	AnandapUrRa	rRaH	AnandapUrRaH	True
6940.050	AnandaBErava	vaH	AnandaBEravaH	True
7057.026	AptakAma	maH	AptakAmaH	True
7079.032	ApadDarmaH	mam	ApadDarmam	True
7180	Abda	bdI	AbdI	False
7256	Amantrayitf	tA	AmantrayitftA	False
7263	AmaraRAnta	kI	None	False
7308	Amodin	dI	None	False
