Lnum	basehw	suffix	resolution
6561.004	AgrahAyaRakaH	RikaH	None
6682.034	AjYAkara	raH	AjYAkaraH
6688.028	Ajyapa	pAH	AjyapAH
6722.022	ARqaja	jaH	ARqajaH
6722.022	ARqaja	jam	ARqajam
6780.020	AtmADIna	naH	AtmADInaH
6780.030	AtmAdizwa	zwaH	AtmAdizwaH
6780.038	AtmASraya	yaH	AtmASrayaH
6780.044	AtmodBava	vaH	AtmodBavaH
6780.044	AtmodBava	vA	AtmodBavA
6780.050	Atmopama	maH	AtmopamaH
6780.062	Atmagata	tam	Atmagatam
6780.100	Atmatuzwi	zwiH	AtmatuzwiH
6780.152	AtmaBU	BUH	AtmaBUH
6780.154	AtmayoniH	BUH	None
6780.156	AtmaBUta	taH	AtmaBUtaH
6780.156	AtmaBUta	tA	AtmaBUtA
6780.194	AtmavaSa	SaH	AtmavaSaH
6780.208	AtmavIra	raH	AtmavIraH
6780.214	Atmavftti	ttiH	AtmavfttiH
6780.242	AtmasaMBavaH	vA	AtmasaMBavA
6780.252	AtmasuKa	Kam	AtmasuKam
6780.262	Atmahita	tam	Atmahitam
6821.020	Adyanta	tam	Adyantam
6821.066	AdibudDa	dDaH	AdibudDaH
6821.068	AdiBava	vaH	AdiBavaH
6821.068	AdiBava	taH	None
6821.068	AdiBava	tam	None
6829.026	AdityapatraH	tram	Adityapatram
6934.020	AnakadunduBiH	BiH	AnakadunduBiH
6934.020	AnakadunduBiH	BI	AnakadunduBI
6940.046	AnandapUrRa	rRaH	AnandapUrRaH
6940.050	AnandaBErava	vaH	AnandaBEravaH
7057.026	AptakAma	maH	AptakAmaH
7079.032	ApadDarmaH	mam	ApadDarmam
7180	Abda	bdI	AbdI
7256	Amantrayitf	tA	AmantrayitftA
7263	AmaraRAnta	kI	None
7308	Amodin	dI	None
7324.022	AmrAvarta	rtam	AmrAvartam
7414.002	AraRyaH	RyaH	AraRyaH
7533.020	ArDaDAtuka	kam	ArDaDAtukam
7538.046	AryamiSra	SraH	AryamiSraH
7538.056	Aryavftta	ttam	Aryavfttam
7538.060	Aryavrata	tam	Aryavratam
7598	AliNgin	gI	None
7745	Avartin	rtI	None
7797.042	ASAvaha	haH	ASAvahaH
7812.030	ASuga	gaH	ASugaH
7812.034	ASutoza	zaH	ASutozaH
7838.024	ASrayASaH	ASaH	ASrayASaH
7838.024	ASrayASaH	ka	ASrayASaka
7874.020	AzAQaBava	vaH	AzAQaBavaH
7874.020	AzAQaBava	BUH	None
7883	AsaH	sam	Asam
8041	Ahartf	rtA	None
8130.028	itikaTa	TA	itikaTA
8167.022	indirAmandiraH	ram	indirAmandiram
8171.026	indukAntaH	tA	indukAntA
8171.030	indujaH	jA	indujA
8176.032	indrAyuDam	DaH	indrAyuDaH
8176.032	indrAyuDam	DA	indrAyuDA
8176.048	indrakIlaH	lam	indrakIlam
8176.054	indrakfzwa	zwaH	indrakfzwaH
8176.100	indrajAlika	kaH	indrajAlikaH
8176.154	indrapurohitaH	tA	indrapurohitA
8184.036	indriyagocara	raH	indriyagocaraH
8184.054	indriyaboDana	nam	indriyaboDanam
8215.022	irAkzIra	raH	irAkzIraH
8215.024	irAcara	ram	irAcaram
8216	irAvat	vAn	None
8260.030	izwaganDa	DaH	izwaganDaH
8260.030	izwaganDa	Dam	izwaganDam
8269.028	izvAsa	saH	izvAsaH
8269.048	izumAtra	tram	izumAtram
8312	Idfkza	kzI	IdfkzI
8312	Idfkza	SI	None
8355.024	Izatkara	ram	Izatkaram
8355.040	IzatpARqu	RquH	IzatpARquH
8355.048	Izadrakta	ktaH	IzadraktaH
8356.022	IzAdanta	ntaH	IzAdantaH
8381	ukzan	kzA	None
8390.028	ugraganDa	nDaH	ugraganDaH
8390.028	ugraganDa	nDA	ugraganDA
8390.028	ugraganDa	nDam	ugraganDam
8390.062	ugraputra	traH	ugraputraH
8390.082	ugrasenaH	nA	ugrasenA
8399.034	uccanIca	cam	uccanIcam
8404.024	uccErGoza	zaH	uccErGozaH
8404.038	uccEHsvara	raH	uccEHsvaraH
8428	uccala	lam	uccalam
8526.024	uqupaH	paH	uqupaH
8527	uqumbaraH	ram	uqumbaram
8659.030	uttAnapAda	daH	uttAnapAdaH
8659.032	uttAnaSaya	yaH	uttAnaSayaH
8659.032	uttAnaSaya	yA	uttAnaSayA
8659.036	uttAnahasta	stO	uttAnahastO
8677.022	uttarADara	rO	uttarADarO
8677.058	uttaretara	rA	uttaretarA
8677.060	uttarottara	ram	uttarottaram
8677.060	uttarottara	ram	uttarottaram
8677.130	uttarapaScima	maH	uttarapaScimaH
8677.130	uttarapaScima	mA	uttarapaScimA
8677.140	uttarapUrva	rvA	uttarapUrvA
8677.200	uttarasaMjYita	taH	uttarasaMjYitaH
8677.204	uttarasADaka	kaH	uttarasADakaH
8823.022	utsAhavarDanaH	nam	utsAhavarDanam
8833	utsuka	kaH	utsukaH
8870.064	udakada	daH	udakadaH
8897.056	udapezam	zam	udapezam
8897.084	udavAsaH	sam	udavAsam
8897.088	udavAha	haH	udavAhaH
8897.106	udahAra	raH	udahAraH
8911.038	udarapiSAca	caH	udarapiSAcaH
8911.046	udaraSaya	yaH	udaraSayaH
9028	udGAwakaH	kam	udGAwakam
9143.020	udBijja	jjaH	udBijjaH
9310.030	unmattapralapita	tam	unmattapralapitam
9678	upanetf	tA	upanetftA
9845.020	upalabDArTa	bDArTA	upalabDArTA
10254	uBaya	yI	uBayI
10254.028	uBayacara	raH	uBayacaraH
10254.036	uBayaBAgahara	ram	uBayaBAgaharam
10255.032	uBayatomuKa	KI	uBayatomuKI
10273	uraRaH	RI	uraRI
10293	uru	ru	uru
10293	uru	rvI	None
10293.030	urukrama	maH	urukramaH
10293.032	urukzaya	yaH	urukzayaH
10293.036	urugAya	yaH	urugAyaH
10293.062	uruloka	kaH	urulokaH
10293.062	uruloka	kam	urulokam
10419.028	uzobuDa	DaH	uzobuDaH
10463.050	UruskamBaH	mBA	UruskamBA
10483.022	UrDvAyana	nam	UrDvAyanam
10483.038	UrDvakaRWa	RWI	UrDvakaRWI
10483.050	UrDvaga	gaH	UrDvagaH
10483.056	UrDvagati	tiH	UrDvagatiH
10483.062	UrDvacaraRa	RaH	UrDvacaraRaH
10483.062	UrDvacaraRa	pAdam	None
10483.084	UrDvadfzwi	zwiH	UrDvadfzwiH
10483.108	UrDvapfSni	SniH	UrDvapfSniH
10483.130	UrDvamuKa	Kam	UrDvamuKam
10499	UzaH	zam	Uzam
10507.026	UzmapaH	paH	UzmapaH
10632.002	ekaH	kam	ekam
10632.022	ekAkza	kzaH	ekAkzaH
10632.024	ekAkzara	ram	ekAkzaram
10632.026	ekAgni	kaH	ekAgnikaH
10632.028	ekAgra	graH	ekAgraH
10632.032	ekANgaH	aNgam	None
10632.032	ekANgaH	NgI	ekANgI
10632.046	ekAnta	taH	ekAntaH
10632.046	ekAnta	tam	ekAntam
10632.046	ekAnta	tam	ekAntam
10632.046	ekAnta	tena	None
10632.046	ekAnta	tataH	None
10632.046	ekAnta	te	ekAnte
10632.056	ekAnnam	nnaH	ekAnnaH
10632.064	ekAyana	nam	ekAyanam
10632.068	ekArTa	rTaH	ekArTaH
10632.082	ekAzWIla	laH	ekAzWIlaH
10632.116	ekarc	cam	None
10632.118	ekEka	kam	ekEkam
10632.130	ekakArya	ryam	ekakAryam
10632.148	ekaguru	ruH	ekaguruH
10632.148	ekaguru	rukaH	None
10632.156	ekacakra	krA	ekacakrA
10632.160	ekacara	raH	ekacaraH
10632.166	ekacitta	ttam	ekacittam
10632.194	ekajAti	tiH	ekajAtiH
10632.204	ekatAna	naH	ekatAnaH
10632.284	ekanATa	TaH	ekanATaH
10632.288	ekaniScaya	yaH	ekaniScayaH
10632.308	ekapad	pAd	None
10632.308	ekapad	padI	ekapadI
10632.312	ekapada	de	ekapade
10632.312	ekapada	dI	ekapadI
10632.330	ekapAtin	nI	ekapAtinI
10632.332	ekapAda	daH	ekapAdaH
10632.370	ekaBakta	Buktam	None
10632.374	ekaBAryA	ryaH	ekaBArryaH
10632.392	ekamuKa	Kam	ekamuKam
10632.410	ekarasa	saH	ekarasaH
10632.438	ekavastra	stram	ekavastram
10632.460	ekaviMSa	SaH	ekaviMSaH
10632.500	ekaSaPa	PaH	ekaSaPaH
10632.512	ekaSAlA	lam	ekaSAlam
10632.528	ekaSrutiH	ti	ekaSruti
10632.562	ekahAyana	nam	ekahAyanam
10881.026	ozaDija	jaH	ozaDijaH
10998	Opayika	kI	OpayikI
11126.030	kaNkamuKa	KaH	kaNkamuKaH
11126.030	kaNkamuKa	Kam	kaNkamuKam
11129	kaNkaRaH	karaH	None
11149.028	kacapaH	pam	kacapam
11197.036	kawaKAdaka	kaH	kawaKAdakaH
11228.026	kawukaPalaH	lam	kawukaPalam
11382.060	kaduzRa	zRam	kaduzRam
11399.036	kanakAhvayaH	yam	kanakAhvayam
11399.064	kanakapraBa	BA	kanakapraBA
11481.026	kapotABa	BaH	kapotABaH
11537.144	karavIraH	rI	karavIrI
11615.056	karRagUTam	TaH	karRagUTaH
11615.098	karRapAliH	lI	karRapAlI
11615.138	karRavarjita	taH	karRavarjitaH
11667.040	karmArha	rhaH	karmArhaH
11667.100	karmajaH	jaH	karmajaH
11693.030	kalakaRWa	RWaH	kalakaRWaH
11693.052	kalanAda	daH	kalanAdaH
11719.032	kalahapriya	yA	kalahapriyA
11739.030	kalipriya	yaH	kalipriyaH
11773	kalyARin	nI	kalyARinI
11789	kavara	rA	kavarA
11789	kavara	rI	kavarI
11860.030	kAkoqumbaraH	rikA	None
11914	kAWinam	naH	kAWinaH
11919.024	kARqakAraH	ram	kARqakAram
11961.022	kAntida	dam	kAntidam
11989.066	kAmAyuDam	DaH	kAmAyuDaH
11989.134	kAmada	daH	kAmadaH
11989.196	kAmarUpa	pAH	kAmarUpAH
11989.210	kAmavallaBaH	BA	kAmavallaBA
12024.036	kAyasTaH	sTI	kAyasTI
12035.002	kAraRA	kAraRAt	None
12123.056	kAlAnusAriH	ryam	None
12123.224	kAlapfzWam	kam	None
12196.020	kAsakuRWa	RWaH	kAsakuRWaH
12196.022	kAsaGna	GnaH	kAsaGnaH
12241.036	kiNkaraH	rA	kiNkarA
12241.036	kiNkaraH	rI	kiNkarI
12530.030	kumBakAraH	rI	kumBakArI
12576.060	kuleSvaraH	rA	kuleSvarA
12576.128	kulaDana	nam	kulaDanam
12638.046	kuSasTalam	lI	kuSasTalI
12708.078	kUwasTa	sTaH	kUwasTaH
12708.078	kUwasTa	sTam	kUwasTam
12759.022	kftANka	NkaH	kftANkaH
12759.030	kftAnta	taH	kftAntaH
12759.098	kftakAla	laH	kftakAlaH
12834.100	kfzRapiNgala	lA	kfzRapiNgalA
12834.152	kfzRasaKaH	KI	kfzRasaKI
13002.064	koSasTa	sTaH	koSasTaH
13203.020	krUrAkfti	tiH	krUrAkftiH
13210	krozwu	zwrI	None
13212.020	krOYcAdanam	nI	krOYcAdanI
13270.026	kzaRadaH	dam	kzaRadam
13354.032	kzitijaH	jA	kzitijA
13446.040	kzetrajYa	jYaH	kzetrajYaH
13489.034	Kaga	gaH	KagaH
13741.028	gajASanaH	nam	gajASanam
13763.030	gaRAByantara	raH	gaRAByantaraH
13764	gaRaka	RikA	gaRikA
13813.036	ganDAQya	QyaH	ganDAQyaH
13813.132	ganDamAdana	naH	ganDamAdanaH
13813.132	ganDamAdana	nam	ganDamAdanam
13856.026	garada	daH	garadaH
13856.026	garada	dam	garadam
14052.044	giricara	raH	giricaraH
14052.046	girija	jA	girijA
14052.094	giriBU	BUH	giriBUH
14052.110	giriSfNgaH	gam	giriSfNgam
14063.028	gItapriya	yaH	gItapriyaH
14063.028	gItapriya	yA	gItapriyA
14097.086	guRakAra	raH	guRakAraH
14268.092	gojAgarikam	kaH	gojAgarikaH
