OldL	AssignedL
11129.XYZ	11129.001
11149.028.XYZ	11149.029
11197.036.XYZ	11197.037
11228.026.XYZ	11228.027
11382.060.XYZ	11382.061
11399.036.XYZ	11399.037
11399.064.XYZ	11399.065
11481.026.XYZ	11481.027
11537.144.XYZ	11537.145
11615.056.XYZ	11615.057
11615.098.XYZ	11615.099
11615.138.XYZ	11615.139
11667.040.XYZ	11667.041
11667.100.XYZ	11667.101
11693.030.XYZ	11693.031
11693.052.XYZ	11693.053
11719.032.XYZ	11719.033
11739.030.XYZ	11739.031
11773.XYZ	11773.001
11789.XYZ	11789.001
11789.XYZ	11789.002
11860.030.XYZ	11860.031
11914.XYZ	11914.001
11919.024.XYZ	11919.025
11961.022.XYZ	11961.023
11989.066.XYZ	11989.067
11989.134.XYZ	11989.135
11989.196.XYZ	11989.197
11989.210.XYZ	11989.211
12024.036.XYZ	12024.037
12035.002.XYZ	12035.003
12123.056.XYZ	12123.057
12123.224.XYZ	12123.225
12196.020.XYZ	12196.021
12196.022.XYZ	12196.023
12241.036.XYZ	12241.037
12241.036.XYZ	12241.036.XYZ
12530.030.XYZ	12530.031
12576.060.XYZ	12576.061
12576.128.XYZ	12576.129
12638.046.XYZ	12638.047
12708.078.XYZ	12708.079
12708.078.XYZ	12708.078.XYZ
12759.022.XYZ	12759.023
12759.030.XYZ	12759.031
12759.098.XYZ	12759.099
12834.100.XYZ	12834.101
12834.152.XYZ	12834.153
13002.064.XYZ	13002.065
13203.020.XYZ	13203.021
13210.XYZ	13210.001
13212.020.XYZ	13212.021
13270.026.XYZ	13270.027
13354.032.XYZ	13354.033
13446.040.XYZ	13446.041
13489.034.XYZ	13489.035
13741.028.XYZ	13741.029
13763.030.XYZ	13763.031
13764.XYZ	13764.001
13813.036.XYZ	13813.037
13813.132.XYZ	13813.133
13813.132.XYZ	13813.132.XYZ
13856.026.XYZ	13856.027
13856.026.XYZ	13856.026.XYZ
14052.044.XYZ	14052.045
14052.046.XYZ	14052.047
14052.094.XYZ	14052.095
14052.110.XYZ	14052.111
14063.028.XYZ	14063.029
14063.028.XYZ	14063.028.XYZ
14097.086.XYZ	14097.087
14268.092.XYZ	14268.093
14268.106.XYZ	14268.107
14268.116.XYZ	14268.117
14268.116.XYZ	14268.116.XYZ
14268.118.XYZ	14268.119
14268.118.XYZ	14268.118.XYZ
14268.142.XYZ	14268.143
14268.188.XYZ	14268.189
14268.188.XYZ	14268.188.XYZ
14268.188.XYZ	14268.188.XYZ
14268.218.XYZ	14268.219
14268.274.XYZ	14268.275
14268.274.XYZ	14268.274.XYZ
14268.274.XYZ	14268.274.XYZ
14359.024.XYZ	14359.025
14448.070.XYZ	14448.071
14560.024.XYZ	14560.025
14577.020.XYZ	14577.021
14577.026.XYZ	14577.027
14577.156.XYZ	14577.157
14641.038.XYZ	14641.039
14641.038.XYZ	14641.038.XYZ
14641.060.XYZ	14641.061
14641.100.XYZ	14641.101
14641.100.XYZ	14641.100.XYZ
14641.122.XYZ	14641.123
14642.006.XYZ	14642.007
14670.044.XYZ	14670.045
14670.060.XYZ	14670.061
14670.060.XYZ	14670.060.XYZ
14670.060.XYZ	14670.060.XYZ
14716.022.XYZ	14716.023
14872.032.XYZ	14872.033
14872.032.XYZ	14872.032.XYZ
14935.064.XYZ	14935.065
14945.124.XYZ	14945.125
15246.044.XYZ	15246.045
15266.030.XYZ	15266.031
15266.030.XYZ	15266.030.XYZ
15314.066.XYZ	15314.067
15314.066.XYZ	15314.066.XYZ
15314.080.XYZ	15314.081
15374.052.XYZ	15374.053
15374.052.XYZ	15374.052.XYZ
15374.076.XYZ	15374.077
15466.036.XYZ	15466.037
15466.076.XYZ	15466.077
15466.076.XYZ	15466.076.XYZ
15466.082.XYZ	15466.083
15466.102.XYZ	15466.103
15466.114.XYZ	15466.115
15466.130.XYZ	15466.131
15466.150.XYZ	15466.151
15466.156.XYZ	15466.157
15466.156.XYZ	15466.156.XYZ
15466.156.XYZ	15466.156.XYZ
15466.156.XYZ	15466.156.XYZ
15466.250.XYZ	15466.251
15466.336.XYZ	15466.337
15512.XYZ	15512.001
15518.XYZ	15518.001
15527.054.XYZ	15527.055
15601.054.XYZ	15601.055
15610.022.XYZ	15610.023
15610.024.XYZ	15610.025
15610.036.XYZ	15610.037
15615.XYZ	15615.001
15644.024.XYZ	15644.025
16047.026.XYZ	16047.027
16047.026.XYZ	16047.028
16083.026.XYZ	16083.027
16087.022.XYZ	16087.023
16090.062.XYZ	16090.063
16090.064.XYZ	16090.065
16090.082.XYZ	16090.083
16090.082.XYZ	16090.082.XYZ
16090.094.XYZ	16090.095
16090.122.XYZ	16090.123
16090.124.XYZ	16090.125
16091.020.XYZ	16091.021
16113.020.XYZ	16113.021
16113.034.XYZ	16113.035
16113.054.XYZ	16113.055
16113.060.XYZ	16113.061
16113.060.XYZ	16113.060.XYZ
16118.042.XYZ	16118.043
16153.040.XYZ	16153.041
16181.020.XYZ	16181.021
16322.020.XYZ	16322.021
16366.068.XYZ	16366.069
16366.082.XYZ	16366.083
16404.020.XYZ	16404.021
16411.032.XYZ	16411.033
16416.024.XYZ	16416.025
16486.054.XYZ	16486.055
16627.036.XYZ	16627.037
16792.034.XYZ	16792.035
16792.040.XYZ	16792.041
16835.032.XYZ	16835.033
16848.028.XYZ	16848.029
16848.030.XYZ	16848.031
16848.054.XYZ	16848.055
16848.070.XYZ	16848.071
16848.102.XYZ	16848.103
16848.108.XYZ	16848.109
16848.126.XYZ	16848.127
16848.128.XYZ	16848.129
16848.172.XYZ	16848.173
16848.176.XYZ	16848.177
16848.180.XYZ	16848.181
16848.226.XYZ	16848.227
16848.234.XYZ	16848.235
16848.254.XYZ	16848.255
16848.266.XYZ	16848.267
16848.266.XYZ	16848.266.XYZ
16848.268.XYZ	16848.269
16848.336.XYZ	16848.337
16848.336.XYZ	16848.336.XYZ
16848.340.XYZ	16848.341
16848.340.XYZ	16848.340.XYZ
16848.342.XYZ	16848.343
16848.346.XYZ	16848.347
16848.390.XYZ	16848.391
16887.XYZ	16887.001
16907.044.XYZ	16907.045
16907.044.XYZ	16907.044.XYZ
16970.040.XYZ	16970.041
16973.046.XYZ	16973.047
16973.056.XYZ	16973.057
16975.022.XYZ	16975.023
16987.078.XYZ	16987.079
17019.074.XYZ	17019.075
17019.104.XYZ	17019.105
17019.150.XYZ	17019.151
17058.020.XYZ	17058.021
17077.002.XYZ	17077.003
17109.020.XYZ	17109.021
17109.024.XYZ	17109.025
17109.024.XYZ	17109.024.XYZ
17109.108.XYZ	17109.109
17114.XYZ	17114.001
17157.XYZ	17157.001
17218.002.XYZ	17218.003
17245.XYZ	17245.001
17301.022.XYZ	17301.023
17301.060.XYZ	17301.061
17305.042.XYZ	17305.043
17305.042.XYZ	17305.042.XYZ
17305.072.XYZ	17305.073
17307.024.XYZ	17307.025
17307.024.XYZ	17307.024.XYZ
17307.104.XYZ	17307.105
17347.024.XYZ	17347.025
17354.154.XYZ	17354.155
17389.020.XYZ	17389.021
17389.024.XYZ	17389.025
17389.034.XYZ	17389.035
17389.046.XYZ	17389.047
17389.048.XYZ	17389.049
17389.094.XYZ	17389.095
17389.104.XYZ	17389.105
17389.120.XYZ	17389.121
17389.126.XYZ	17389.127
17389.130.XYZ	17389.131
17389.134.XYZ	17389.135
17389.148.XYZ	17389.149
17389.150.XYZ	17389.151
17389.186.XYZ	17389.187
17389.190.XYZ	17389.191
17389.190.XYZ	17389.190.XYZ
17389.190.XYZ	17389.190.XYZ
17389.190.XYZ	17389.190.XYZ
17389.190.XYZ	17389.190.XYZ
17389.190.XYZ	17389.190.XYZ
17389.198.XYZ	17389.199
17389.198.XYZ	17389.198.XYZ
17389.204.XYZ	17389.205
17389.216.XYZ	17389.217
17389.226.XYZ	17389.227
17389.228.XYZ	17389.229
17389.232.XYZ	17389.233
17389.234.XYZ	17389.235
17389.236.XYZ	17389.237
17389.250.XYZ	17389.251
17389.264.XYZ	17389.265
17389.266.XYZ	17389.267
17389.284.XYZ	17389.285
17389.390.XYZ	17389.391
17389.402.XYZ	17389.403
17389.416.XYZ	17389.417
17389.420.XYZ	17389.421
17389.426.XYZ	17389.427
17389.436.XYZ	17389.437
17389.470.XYZ	17389.471
17389.472.XYZ	17389.473
17389.484.XYZ	17389.485
17389.486.XYZ	17389.487
17389.488.XYZ	17389.489
17413.040.XYZ	17413.041
17421.022.XYZ	17421.023
17421.048.XYZ	17421.049
17421.050.XYZ	17421.051
17421.076.XYZ	17421.077
17421.096.XYZ	17421.097
17421.134.XYZ	17421.135
17445.046.XYZ	17445.047
17445.046.XYZ	17445.046.XYZ
17445.064.XYZ	17445.065
17445.064.XYZ	17445.064.XYZ
17463.020.XYZ	17463.021
17463.062.XYZ	17463.063
17463.086.XYZ	17463.087
17495.034.XYZ	17495.035
17505.030.XYZ	17505.031
17517.042.XYZ	17517.043
17517.084.XYZ	17517.085
17517.084.XYZ	17517.084.XYZ
17517.086.XYZ	17517.087
17517.126.XYZ	17517.127
17517.176.XYZ	17517.177
17517.178.XYZ	17517.179
17517.182.XYZ	17517.183
17517.368.XYZ	17517.369
17544.036.XYZ	17544.037
17611.022.XYZ	17611.023
17758.024.XYZ	17758.025
17794.032.XYZ	17794.033
17799.022.XYZ	17799.023
17799.024.XYZ	17799.025
17799.072.XYZ	17799.073
17799.092.XYZ	17799.093
17799.096.XYZ	17799.097
17799.212.XYZ	17799.213
17799.248.XYZ	17799.249
17799.274.XYZ	17799.275
17812.024.XYZ	17812.025
17867.064.XYZ	17867.065
17867.084.XYZ	17867.085
17881.024.XYZ	17881.025
17918.026.XYZ	17918.027
17918.044.XYZ	17918.045
17918.116.XYZ	17918.117
17918.118.XYZ	17918.119
17918.150.XYZ	17918.151
17918.214.XYZ	17918.215
17918.264.XYZ	17918.265
18045.024.XYZ	18045.025
18045.026.XYZ	18045.027
18071.020.XYZ	18071.021
18084.030.XYZ	18084.031
18102.042.XYZ	18102.043
18214.026.XYZ	18214.027
18227.042.XYZ	18227.043
18231.032.XYZ	18231.033
18237.044.XYZ	18237.045
18243.XYZ	18243.001
18258.034.XYZ	18258.035
18275.022.XYZ	18275.023
18285.034.XYZ	18285.035
18285.034.XYZ	18285.034.XYZ
18319.038.XYZ	18319.039
18348.024.XYZ	18348.025
18350.044.XYZ	18350.045
18350.070.XYZ	18350.071
18379.026.XYZ	18379.027
18379.028.XYZ	18379.029
18379.032.XYZ	18379.033
18391.028.XYZ	18391.029
18394.064.XYZ	18394.065
18435.082.XYZ	18435.083
18435.092.XYZ	18435.093
18438.006.XYZ	18438.006.XYZ
18488.024.XYZ	18488.025
18488.024.XYZ	18488.024.XYZ
18488.024.XYZ	18488.024.XYZ
18504.058.XYZ	18504.059
18504.070.XYZ	18504.071
18534.004.XYZ	18534.005
18534.004.XYZ	18534.006
18923.040.XYZ	18923.041
18923.040.XYZ	18923.040.XYZ
18923.042.XYZ	18923.043
18923.050.XYZ	18923.051
18923.064.XYZ	18923.065
18923.074.XYZ	18923.075
18923.082.XYZ	18923.083
18923.104.XYZ	18923.105
18923.106.XYZ	18923.107
18923.108.XYZ	18923.109
18923.114.XYZ	18923.115
18923.130.XYZ	18923.131
18923.134.XYZ	18923.135
18923.150.XYZ	18923.151
18923.152.XYZ	18923.153
18923.156.XYZ	18923.157
18923.158.XYZ	18923.159
18923.170.XYZ	18923.171
18923.172.XYZ	18923.173
18923.190.XYZ	18923.191
18923.190.XYZ	18923.190.XYZ
18923.190.XYZ	18923.190.XYZ
18923.210.XYZ	18923.211
18923.210.XYZ	18923.210.XYZ
18923.212.XYZ	18923.213
18923.232.XYZ	18923.233
18923.248.XYZ	18923.249
18923.250.XYZ	18923.251
18923.260.XYZ	18923.261
18923.298.XYZ	18923.299
18923.316.XYZ	18923.317
18923.322.XYZ	18923.323
18923.324.XYZ	18923.325
18923.326.XYZ	18923.327
18923.338.XYZ	18923.339
18923.342.XYZ	18923.343
18923.342.XYZ	18923.342.XYZ
18923.346.XYZ	18923.347
18923.382.XYZ	18923.383
18923.416.XYZ	18923.417
18923.418.XYZ	18923.419
18923.430.XYZ	18923.431
18923.430.XYZ	18923.430.XYZ
18923.430.XYZ	18923.430.XYZ
