BaseL	AssignedL
Lbody:2603.XYZ	Lbody:2603.002
2607.XYZ	2607.002
2607.XYZ	2607.004
Lbody:2607.XYZ	Lbody:2607.002
2607.XYZ	2607.006
2607.XYZ	2607.008
2610.XYZ	2610.002
2610.XYZ	2610.004
2636.XYZ	2636.002
2637.XYZ	2637.002
2644.XYZ	2644.002
2655.XYZ	2655.002
2671.XYZ	2671.002
2679.XYZ	2679.002
2679.XYZ	2679.004
Lbody:2679.XYZ	Lbody:2679.002
2680.XYZ	2680.002
2690.XYZ	2690.002
2690.XYZ	2690.004
2690.XYZ	2690.006
2690.XYZ	2690.008
2690.XYZ	2690.010
2705.XYZ	2705.002
2705.XYZ	2705.004
2708.XYZ	2708.002
2717.XYZ	2717.002
2729.XYZ	2729.002
2733.XYZ	2733.002
2737.XYZ	2737.002
2744.XYZ	2744.002
2746.XYZ	2746.002
2747.XYZ	2747.002
2751.XYZ	2751.002
2752.XYZ	2752.002
2757.XYZ	2757.002
2760.XYZ	2760.002
2776.XYZ	2776.002
2790.XYZ	2790.002
2791.XYZ	2791.002
2797.XYZ	2797.002
2797.XYZ	2797.004
2809.XYZ	2809.002
2812.XYZ	2812.002
2818.XYZ	2818.002
2824.XYZ	2824.002
2827.XYZ	2827.002
2834.XYZ	2834.002
2834.XYZ	2834.004
2838.XYZ	2838.002
2847.XYZ	2847.004
2901.XYZ	2901.004
2908.XYZ	2908.002
2918.XYZ	2918.004
2918.XYZ	2918.006
Lbody:2918.XYZ	Lbody:2918.004
2919.XYZ	2919.004
2923.XYZ	2923.002
2934.XYZ	2934.002
2934.XYZ	2934.004
Lbody:2934.XYZ	Lbody:2934.002
2943.XYZ	2943.002
2943.XYZ	2943.004
2943.XYZ	2943.006
2943.XYZ	2943.008
2947.XYZ	2947.004
2956.XYZ	2956.002
2959.XYZ	2959.002
2962.XYZ	2962.002
2972.XYZ	2972.002
2977.XYZ	2977.002
2985.XYZ	2985.002
2986.XYZ	2986.004
2992.XYZ	2992.002
3008.XYZ	3008.002
3010.XYZ	3010.002
3011.XYZ	3011.002
3017.XYZ	3017.002
3021.XYZ	3021.002
3022.XYZ	3022.004
3025.XYZ	3025.002
3027.XYZ	3027.002
3027.XYZ	3027.004
3034.XYZ	3034.002
3045.XYZ	3045.002
3051.XYZ	3051.002
3052.XYZ	3052.004
3058.XYZ	3058.004
